I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17
30.540,29.330,30.910,31.030,43.000,31.030,11.970,3.000,0.000,0.000,35.910,0.000,0.000,30.000,30.000,1.000,4.000,1.000
30.670,29.400,31.020,31.160,43.000,31.160,11.840,3.000,0.000,0.000,35.520,0.000,0.000,30.000,30.000,1.000,4.000,1.000
30.840,29.490,31.170,31.330,43.000,31.330,11.670,3.000,0.000,0.000,35.020,0.000,0.000,30.000,30.000,1.000,4.000,1.000
31.060,29.590,31.360,31.530,43.000,31.530,11.470,3.000,0.000,0.000,34.400,0.000,0.000,30.000,30.000,1.000,4.000,1.000
31.310,29.710,31.590,31.780,43.000,31.780,11.220,3.000,0.000,0.000,33.660,0.000,0.000,30.000,30.000,1.000,4.000,1.000
31.620,29.870,31.840,32.060,43.000,32.060,10.940,3.000,0.000,0.000,32.830,0.000,0.000,30.000,30.000,1.000,4.000,1.000
31.960,30.030,32.130,32.370,43.000,32.370,10.630,3.000,0.000,0.000,31.900,0.000,0.000,30.000,30.000,1.000,4.000,1.000
32.340,30.220,32.440,32.700,43.000,32.700,10.300,3.000,0.000,0.000,30.890,0.000,0.000,30.000,30.000,1.000,4.000,1.000
32.750,30.420,32.770,33.060,43.000,33.060,9.940,3.000,0.000,0.000,29.820,0.000,0.000,29.820,30.000,1.000,4.000,1.000
33.180,30.650,33.120,33.440,43.000,33.440,9.560,3.000,0.000,0.000,28.690,0.000,0.000,28.690,30.000,1.000,4.000,1.000
33.630,30.900,33.480,33.830,43.000,33.830,9.170,3.000,0.000,0.000,27.500,0.000,0.000,27.500,30.000,1.000,4.000,1.000
34.100,31.170,33.860,34.240,43.000,34.240,8.760,3.000,0.000,0.000,26.280,0.000,0.000,26.280,30.000,1.000,4.000,1.000
34.590,31.460,34.250,34.660,43.000,34.660,8.340,3.000,0.000,0.000,25.030,0.000,0.000,25.030,30.000,1.000,4.000,1.000
35.080,31.770,34.640,35.080,43.000,35.080,7.920,3.000,0.000,0.000,23.770,0.000,0.000,23.770,30.000,1.000,4.000,1.000
35.550,32.090,35.030,35.490,43.000,35.550,7.450,3.000,0.000,0.000,22.340,0.000,0.000,22.340,30.000,1.000,4.000,1.000
36.020,32.410,35.420,35.920,43.000,36.020,6.980,3.000,0.000,0.000,20.950,0.000,0.000,20.950,30.000,1.000,4.000,1.000
36.480,32.720,35.810,36.330,43.000,36.480,6.520,3.000,0.000,0.000,19.550,0.000,0.000,19.550,30.000,1.000,4.000,1.000
36.940,33.050,36.190,36.730,43.000,36.940,6.060,3.000,0.000,0.000,18.180,0.000,0.000,18.180,30.000,1.000,4.000,1.000
37.390,33.370,36.560,37.130,43.000,37.390,5.610,3.000,0.000,0.000,16.830,0.000,0.000,16.830,30.000,1.000,4.000,1.000
37.820,33.710,36.910,37.510,43.000,37.820,5.180,3.000,0.000,0.000,15.540,0.000,0.000,15.540,30.000,1.000,4.000,1.000
38.210,34.040,37.250,37.880,43.000,38.210,4.790,3.000,0.000,0.000,14.380,0.000,0.000,14.380,30.000,1.000,4.000,1.000
38.620,34.370,37.580,38.230,43.000,38.620,4.380,3.000,0.000,0.000,13.130,0.000,0.000,13.130,30.000,1.000,4.000,1.000
39.020,34.690,37.890,38.560,43.000,39.020,3.980,3.000,0.000,0.000,11.950,0.000,0.000,11.950,30.000,1.000,4.000,1.000
39.400,34.980,38.190,38.870,43.000,39.400,3.600,3.000,0.000,0.000,10.790,0.000,0.000,10.790,30.000,1.000,4.000,1.000
