I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17
42.600,37.790,40.290,41.560,43.000,42.600,0.400,3.000,0.020,0.000,1.210,2.260,0.000,3.460,30.000,1.000,4.000,1.000
42.650,37.880,40.310,41.580,43.000,42.650,0.350,3.000,0.020,0.000,1.040,2.260,0.000,3.310,30.000,1.000,4.000,1.000
42.710,37.960,40.310,41.580,43.000,42.710,0.290,3.000,0.020,0.000,0.870,2.270,0.000,3.140,30.000,1.000,4.000,1.000
42.760,38.020,40.300,41.580,43.000,42.760,0.240,3.000,0.020,0.000,0.710,2.270,0.000,2.990,30.000,1.000,4.000,1.000
42.770,38.060,40.290,41.570,43.000,42.770,0.230,3.000,0.020,0.000,0.680,2.280,0.000,2.960,30.000,1.000,4.000,1.000
42.770,38.110,40.270,41.560,43.000,42.770,0.230,3.000,0.020,0.000,0.700,2.280,0.000,2.980,30.000,1.000,4.000,1.000
42.740,38.180,40.250,41.540,43.000,42.740,0.260,3.000,0.020,0.000,0.790,2.290,0.000,3.080,30.000,1.000,4.000,1.000
42.720,38.250,40.230,41.520,43.000,42.720,0.280,3.000,0.020,0.000,0.840,2.290,0.000,3.130,30.000,1.000,4.000,1.000
42.680,38.290,40.200,41.500,43.000,42.680,0.320,3.000,0.020,0.000,0.950,2.300,0.000,3.250,30.000,1.000,4.000,1.000
42.630,38.330,40.170,41.470,43.000,42.630,0.370,3.000,0.020,0.000,1.120,2.310,0.000,3.420,30.000,1.000,4.000,1.000
42.570,38.340,40.140,41.430,43.000,42.570,0.430,3.000,0.020,0.000,1.290,2.320,0.000,3.610,30.000,1.000,4.000,1.000
42.510,38.340,40.100,41.400,43.000,42.510,0.490,3.000,0.020,0.000,1.470,2.330,0.000,3.800,30.000,1.000,4.000,1.000
42.440,38.330,40.070,41.360,43.000,42.440,0.560,3.000,0.020,0.000,1.670,2.340,0.000,4.010,30.000,1.000,4.000,1.000
