I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17
35.730,34.210,33.450,34.770,42.000,35.730,6.270,3.000,0.025,0.000,18.810,5.560,0.000,24.370,30.000,0.200,4.000,1.000
35.730,34.220,33.450,34.750,42.000,35.730,6.270,3.000,0.025,0.000,18.820,5.590,0.000,24.420,30.000,0.200,4.000,1.000
35.720,34.210,33.430,34.740,42.000,35.720,6.280,3.000,0.025,0.000,18.830,5.620,0.000,24.460,30.000,0.200,4.000,1.000
35.710,34.200,33.430,34.750,42.000,35.710,6.290,3.000,0.025,0.000,18.880,5.660,0.000,24.540,30.000,0.200,4.000,1.000
35.700,34.200,33.420,34.730,42.000,35.700,6.300,3.000,0.025,0.000,18.910,5.690,0.000,24.600,30.000,0.200,4.000,1.000
35.700,34.190,33.410,34.720,42.000,35.700,6.300,3.000,0.025,0.000,18.910,5.720,0.000,24.630,30.000,0.200,4.000,1.000
35.680,34.180,33.420,34.730,42.000,35.680,6.320,3.000,0.025,0.000,18.950,5.750,0.000,24.700,30.000,0.200,4.000,1.000
35.680,34.180,33.430,34.720,42.000,35.680,6.320,3.000,0.025,0.000,18.970,5.780,0.000,24.750,30.000,0.200,4.000,1.000
35.670,34.170,33.410,34.730,42.000,35.670,6.330,3.000,0.025,0.000,18.980,5.810,0.000,24.790,30.000,0.200,4.000,1.000
35.660,34.160,33.420,34.730,42.000,35.660,6.340,3.000,0.025,0.000,19.010,5.850,0.000,24.850,30.000,0.200,4.000,1.000
35.660,34.160,33.440,34.720,42.000,35.660,6.340,3.000,0.025,0.000,19.020,5.880,0.000,24.900,30.000,0.200,4.000,1.000
35.660,34.150,33.440,34.740,42.000,35.660,6.340,3.000,0.025,0.000,19.010,5.910,0.000,24.920,30.000,0.200,4.000,1.000
35.650,34.140,33.460,34.750,42.000,35.650,6.350,3.000,0.025,0.000,19.050,5.940,0.000,24.990,30.000,0.200,4.000,1.000
35.650,34.140,33.470,34.750,42.000,35.650,6.350,3.000,0.025,0.000,19.040,5.970,0.000,25.020,30.000,0.200,4.000,1.000
35.650,34.130,33.480,34.770,42.000,35.650,6.350,3.000,0.025,0.000,19.060,6.000,0.000,25.060,30.000,0.200,4.000,1.000
35.640,34.120,33.500,34.790,42.000,35.640,6.360,3.000,0.025,0.000,19.090,6.040,0.000,25.130,30.000,0.200,4.000,1.000
35.640,34.120,33.520,34.800,42.000,35.640,6.360,3.000,0.025,0.000,19.070,6.070,0.000,25.130,30.000,0.200,4.000,1.000
35.640,34.110,33.540,34.830,42.000,35.640,6.360,3.000,0.025,0.000,19.070,6.100,0.000,25.170,30.000,0.200,4.000,1.000
35.640,34.110,33.570,34.850,42.000,35.640,6.360,3.000,0.025,0.000,19.080,6.130,0.000,25.210,30.000,0.200,4.000,1.000
35.650,34.110,33.590,34.870,42.000,35.650,6.350,3.000,0.025,0.000,19.040,6.160,0.000,25.200,30.000,0.200,4.000,1.000
35.660,34.100,33.620,34.900,42.000,35.660,6.340,3.000,0.025,0.000,19.030,6.200,0.000,25.220,30.000,0.200,4.000,1.000
35.670,34.110,33.650,34.920,42.000,35.670,6.330,3.000,0.025,0.000,19.000,6.230,0.000,25.230,30.000,0.200,4.000,1.000
35.680,34.110,33.670,34.950,42.000,35.680,6.320,3.000,0.025,0.000,18.950,6.260,0.000,25.210,30.000,0.200,4.000,1.000
35.690,34.100,33.710,34.990,42.000,35.690,6.310,3.000,0.025,0.000,18.930,6.290,0.000,25.220,30.000,0.200,4.000,1.000
35.700,34.120,33.740,35.010,42.000,35.700,6.300,3.000,0.025,0.000,18.890,6.320,0.000,25.210,30.000,0.200,4.000,1.000
35.720,34.110,33.770,35.050,42.000,35.720,6.280,3.000,0.025,0.000,18.850,6.350,0.000,25.210,30.000,0.200,4.000,1.000
35.720,34.110,33.810,35.080,42.000,35.720,6.280,3.000,0.025,0.000,18.830,6.380,0.000,25.220,30.000,0.200,4.000,1.000
35.740,34.130,33.840,35.110,42.000,35.740,6.260,3.000,0.025,0.000,18.780,6.420,0.000,25.200,30.000,0.200,4.000,1.000
35.750,34.120,33.880,35.160,42.000,35.750,6.250,3.000,0.025,0.000,18.760,6.450,0.000,25.210,30.000,0.200,4.000,1.000
35.760,34.130,33.920,35.190,42.000,35.760,6.240,3.000,0.025,0.000,18.720,6.480,0.000,25.200,30.000,0.200,4.000,1.000
35.780,34.140,33.950,35.230,42.000,35.780,6.220,3.000,0.025,0.000,18.660,6.510,0.000,25.170,30.000,0.200,4.000,1.000
35.790,34.130,34.000,35.280,42.000,35.790,6.210,3.000,0.025,0.000,18.640,6.540,0.000,25.180,30.000,0.200,4.000,1.000
35.810,34.150,34.040,35.310,42.000,35.810,6.190,3.000,0.025,0.000,18.570,6.570,0.000,25.140,30.000,0.200,4.000,1.000
35.840,34.160,34.080,35.360,42.000,35.840,6.160,3.000,0.025,0.000,18.490,6.600,0.000,25.090,30.000,0.200,4.000,1.000
35.850,34.160,34.130,35.400,42.000,35.850,6.150,3.000,0.025,0.000,18.450,6.630,0.000,25.080,30.000,0.200,4.000,1.000
35.890,34.190,34.160,35.440,42.000,35.890,6.110,3.000,0.025,0.000,18.330,6.660,0.000,25.000,30.000,0.200,4.000,1.000
35.910,34.190,34.210,35.500,42.000,35.910,6.090,3.000,0.025,0.000,18.280,6.690,0.000,24.980,30.000,0.200,4.000,1.000
35.930,34.210,34.260,35.540,42.000,35.930,6.070,3.000,0.025,0.000,18.210,6.720,0.000,24.940,30.000,0.200,4.000,1.000
35.970,34.220,34.290,35.590,42.000,35.970,6.030,3.000,0.025,0.000,18.090,6.750,0.000,24.850,30.000,0.200,4.000,1.000
35.990,34.240,34.350,35.640,42.000,35.990,6.010,3.000,0.025,0.000,18.040,6.780,0.000,24.820,30.000,0.200,4.000,1.000
36.030,34.260,34.400,35.680,42.000,36.030,5.970,3.000,0.025,0.000,17.910,6.810,0.000,24.720,30.000,0.200,4.000,1.000
36.060,34.270,34.440,35.750,42.000,36.060,5.940,3.000,0.025,0.000,17.810,6.840,0.000,24.660,30.000,0.200,4.000,1.000
36.090,34.300,34.500,35.790,42.000,36.090,5.910,3.000,0.025,0.000,17.740,6.870,0.000,24.610,30.000,0.200,4.000,1.000
36.140,34.330,34.530,35.840,42.000,36.140,5.860,3.000,0.025,0.000,17.580,6.900,0.000,24.480,30.000,0.200,4.000,1.000
36.170,34.340,34.590,35.900,42.000,36.170,5.830,3.000,0.025,0.000,17.480,6.930,0.000,24.410,30.000,0.200,4.000,1.000
36.210,34.380,34.640,35.940,42.000,36.210,5.790,3.000,0.025,0.000,17.360,6.960,0.000,24.320,30.000,0.200,4.000,1.000
36.260,34.400,34.680,36.000,42.000,36.260,5.740,3.000,0.025,0.000,17.230,6.990,0.000,24.210,30.000,0.200,4.000,1.000
36.290,34.430,34.750,36.050,42.000,36.290,5.710,3.000,0.025,0.000,17.120,7.020,0.000,24.140,30.000,0.200,4.000,1.000
36.340,34.470,34.780,36.110,42.000,36.340,5.660,3.000,0.025,0.000,16.980,7.050,0.000,24.020,30.000,0.200,4.000,1.000
36.370,34.480,34.840,36.180,42.000,36.370,5.630,3.000,0.025,0.000,16.880,7.070,0.000,23.950,30.000,0.200,4.000,1.000
36.420,34.530,34.890,36.220,42.000,36.420,5.580,3.000,0.025,0.000,16.740,7.100,0.000,23.840,30.000,0.200,4.000,1.000
36.470,34.550,34.940,36.290,42.000,36.470,5.530,3.000,0.025,0.000,16.580,7.130,0.000,23.710,30.000,0.200,4.000,1.000
36.510,34.580,35.000,36.340,42.000,36.510,5.490,3.000,0.025,0.000,16.470,7.160,0.000,23.620,30.000,0.200,4.000,1.000
36.570,34.620,35.040,36.400,42.000,36.570,5.430,3.000,0.025,0.000,16.280,7.180,0.000,23.470,30.000,0.200,4.000,1.000
36.610,34.640,35.100,36.450,42.000,36.610,5.390,3.000,0.025,0.000,16.170,7.210,0.000,23.380,30.000,0.200,4.000,1.000
