I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17
33.120,32.450,32.850,33.100,43.000,32.880,10.120,20.000,0.000,0.000,202.410,0.000,0.000,100.000,100.000,1.000,4.000,1.000
33.130,32.440,32.930,33.190,43.000,32.920,10.080,20.000,0.000,0.000,201.500,0.000,0.000,100.000,100.000,1.000,4.000,1.000
33.260,32.480,33.160,33.460,43.000,33.090,9.910,20.000,0.000,0.000,198.210,0.000,0.000,100.000,100.000,1.000,4.000,1.000
33.510,32.600,33.550,33.900,43.000,33.390,9.610,20.000,0.000,0.000,192.150,0.000,0.000,100.000,100.000,1.000,4.000,1.000
33.880,32.800,34.100,34.530,43.000,33.830,9.170,20.000,0.000,0.000,183.490,0.000,0.000,100.000,100.000,1.000,4.000,1.000
34.370,33.090,34.790,35.320,43.000,34.390,8.610,20.000,0.000,0.000,172.190,0.000,0.000,100.000,100.000,1.000,4.000,1.000
35.040,33.480,35.620,36.250,43.000,35.100,7.900,20.000,0.000,0.000,158.050,0.000,0.000,100.000,100.000,1.000,4.000,1.000
35.890,33.980,36.560,37.310,43.000,35.930,7.070,20.000,0.000,0.000,141.340,0.000,0.000,100.000,100.000,1.000,4.000,1.000
36.860,34.580,37.600,38.470,43.000,36.880,6.120,20.000,0.000,0.000,122.490,0.000,0.000,100.000,100.000,1.000,4.000,1.000
37.950,35.260,38.720,39.720,43.000,37.910,5.090,20.000,0.000,0.000,101.740,0.000,0.000,100.000,100.000,1.000,4.000,1.000
39.120,36.010,39.920,41.060,43.000,39.030,3.970,20.000,0.000,0.000,79.470,0.000,0.000,79.470,100.000,1.000,4.000,1.000
40.410,36.840,41.190,42.470,43.000,40.230,2.770,20.000,0.000,0.000,55.460,0.000,0.000,55.460,100.000,1.000,4.000,1.000
41.750,37.710,42.500,43.910,43.000,41.460,1.540,20.000,0.000,0.000,30.730,0.000,0.000,30.730,100.000,1.000,4.000,1.000
43.120,38.620,43.800,45.340,43.000,42.720,0.280,20.000,0.000,0.000,5.670,0.000,0.000,5.670,100.000,1.000,4.000,1.000
44.460,39.540,45.030,46.700,43.000,43.930,-0.930,20.000,0.000,0.000,-18.670,0.000,0.000,0.000,100.000,1.000,4.000,1.000
45.780,40.470,46.150,47.930,43.000,45.080,-2.080,20.000,0.000,0.000,-41.680,0.000,0.000,0.000,100.000,1.000,4.000,1.000
47.020,41.370,47.140,49.010,43.000,46.130,-3.130,20.000,0.000,0.000,-62.690,0.000,0.000,0.000,100.000,1.000,4.000,1.000
48.190,42.190,48.000,49.930,43.000,47.080,-4.080,20.000,0.000,0.000,-81.550,0.000,0.000,0.000,100.000,1.000,4.000,1.000
49.240,42.950,48.740,50.710,43.000,47.910,-4.910,20.000,0.000,0.000,-98.180,0.000,0.000,0.000,100.000,1.000,4.000,1.000
50.160,43.670,49.370,51.370,43.000,48.640,-5.640,20.000,0.000,0.000,-112.870,0.000,0.000,0.000,100.000,1.000,4.000,1.000
50.970,44.330,49.910,51.920,43.000,49.280,-6.280,20.000,0.000,0.000,-125.650,0.000,0.000,0.000,100.000,1.000,4.000,1.000
51.720,44.950,50.360,52.370,43.000,49.850,-6.850,20.000,0.000,0.000,-136.970,0.000,0.000,0.000,100.000,1.000,4.000,1.000
52.400,45.500,50.740,52.750,43.000,50.350,-7.350,20.000,0.000,0.000,-146.950,0.000,0.000,0.000,100.000,1.000,4.000,1.000
52.960,46.000,51.060,53.060,43.000,50.770,-7.770,20.000,0.000,0.000,-155.410,0.000,0.000,0.000,100.000,1.000,4.000,1.000
53.410,46.450,51.320,53.310,43.000,51.120,-8.120,20.000,0.000,0.000,-162.430,0.000,0.000,0.000,100.000,1.000,4.000,1.000
53.790,46.860,51.530,53.520,43.000,51.420,-8.420,20.000,0.000,0.000,-168.480,0.000,0.000,0.000,100.000,1.000,4.000,1.000
54.150,47.180,51.710,53.680,43.000,51.680,-8.680,20.000,0.000,0.000,-173.630,0.000,0.000,0.000,100.000,1.000,4.000,1.000
54.450,47.470,51.850,53.800,43.000,51.890,-8.890,20.000,0.000,0.000,-177.860,0.000,0.000,0.000,100.000,1.000,4.000,1.000
54.710,47.690,51.970,53.890,43.000,52.060,-9.060,20.000,0.000,0.000,-181.290,0.000,0.000,0.000,100.000,1.000,4.000,1.000
54.890,47.860,52.050,53.960,43.000,52.190,-9.190,20.000,0.000,0.000,-183.830,0.000,0.000,0.000,100.000,1.000,4.000,1.000
54.980,47.970,52.110,54.010,43.000,52.270,-9.270,20.000,0.000,0.000,-185.310,0.000,0.000,0.000,100.000,1.000,4.000,1.000
55.050,48.060,52.150,54.030,43.000,52.320,-9.320,20.000,0.000,0.000,-186.450,0.000,0.000,0.000,100.000,1.000,4.000,1.000
55.120,48.130,52.180,54.040,43.000,52.370,-9.370,20.000,0.000,0.000,-187.350,0.000,0.000,0.000,100.000,1.000,4.000,1.000
55.110,48.170,52.180,54.030,43.000,52.370,-9.370,20.000,0.000,0.000,-187.480,0.000,0.000,0.000,100.000,1.000,4.000,1.000
55.050,48.220,52.170,54.020,43.000,52.370,-9.370,20.000,0.000,0.000,-187.300,0.000,0.000,0.000,100.000,1.000,4.000,1.000
54.970,48.250,52.150,53.990,43.000,52.340,-9.340,20.000,0.000,0.000,-186.840,0.000,0.000,0.000,100.000,1.000,4.000,1.000
54.870,48.270,52.120,53.960,43.000,52.310,-9.310,20.000,0.000,0.000,-186.110,0.000,0.000,0.000,100.000,1.000,4.000,1.000
54.780,48.300,52.070,53.910,43.000,52.270,-9.270,20.000,0.000,0.000,-185.340,0.000,0.000,0.000,100.000,1.000,4.000,1.000
54.710,48.330,52.020,53.850,43.000,52.230,-9.230,20.000,0.000,0.000,-184.610,0.000,0.000,0.000,100.000,1.000,4.000,1.000
54.710,48.310,51.960,53.800,43.000,52.190,-9.190,20.000,0.000,0.000,-183.890,0.000,0.000,0.000,100.000,1.000,4.000,1.000
54.690,48.320,51.900,53.730,43.000,52.160,-9.160,20.000,0.000,0.000,-183.190,0.000,0.000,0.000,100.000,1.000,4.000,1.000
54.650,48.340,51.840,53.650,43.000,52.120,-9.120,20.000,0.000,0.000,-182.380,0.000,0.000,0.000,100.000,1.000,4.000,1.000
54.540,48.340,51.760,53.570,43.000,52.050,-9.050,20.000,0.000,0.000,-181.040,0.000,0.000,0.000,100.000,1.000,4.000,1.000
54.340,48.290,51.680,53.480,43.000,51.950,-8.950,20.000,0.000,0.000,-178.970,0.000,0.000,0.000,100.000,1.000,4.000,1.000
54.130,48.200,51.610,53.390,43.000,51.830,-8.830,20.000,0.000,0.000,-176.620,0.000,0.000,0.000,100.000,1.000,4.000,1.000
53.960,48.130,51.530,53.290,43.000,51.730,-8.730,20.000,0.000,0.000,-174.570,0.000,0.000,0.000,100.000,1.000,4.000,1.000
53.760,48.070,51.450,53.190,43.000,51.620,-8.620,20.000,0.000,0.000,-172.340,0.000,0.000,0.000,100.000,1.000,4.000,1.000
53.630,48.030,51.350,53.090,43.000,51.530,-8.530,20.000,0.000,0.000,-170.500,0.000,0.000,0.000,100.000,1.000,4.000,1.000
53.540,47.990,51.250,52.990,43.000,51.440,-8.440,20.000,0.000,0.000,-168.850,0.000,0.000,0.000,100.000,1.000,4.000,1.000
53.440,47.950,51.150,52.880,43.000,51.360,-8.360,20.000,0.000,0.000,-167.120,0.000,0.000,0.000,100.000,1.000,4.000,1.000
53.400,47.840,51.050,52.770,43.000,51.270,-8.270,20.000,0.000,0.000,-165.340,0.000,0.000,0.000,100.000,1.000,4.000,1.000
53.290,47.710,50.960,52.670,43.000,51.160,-8.160,20.000,0.000,0.000,-163.120,0.000,0.000,0.000,100.000,1.000,4.000,1.000
53.080,47.640,50.860,52.560,43.000,51.030,-8.030,20.000,0.000,0.000,-160.670,0.000,0.000,0.000,100.000,1.000,4.000,1.000
52.880,47.580,50.760,52.460,43.000,50.920,-7.920,20.000,0.000,0.000,-158.380,0.000,0.000,0.000,100.000,1.000,4.000,1.000
52.760,47.540,50.660,52.350,43.000,50.830,-7.830,20.000,0.000,0.000,-156.580,0.000,0.000,0.000,100.000,1.000,4.000,1.000
52.630,47.480,50.560,52.250,43.000,50.730,-7.730,20.000,0.000,0.000,-154.610,0.000,0.000,0.000,100.000,1.000,4.000,1.000
52.470,47.420,50.460,52.140,43.000,50.620,-7.620,20.000,0.000,0.000,-152.440,0.000,0.000,0.000,100.000,1.000,4.000,1.000
