I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17
29.640,29.720,30.480,30.950,43.000,30.950,12.050,3.000,0.030,0.000,36.150,0.000,0.000,30.000,30.000,1.000,4.000,1.000
29.700,29.790,30.540,31.030,43.000,31.030,11.970,3.000,0.030,0.000,35.920,0.000,0.000,30.000,30.000,1.000,4.000,1.000
29.770,29.880,30.640,31.140,43.000,31.140,11.860,3.000,0.030,0.000,35.580,0.000,0.000,30.000,30.000,1.000,4.000,1.000
29.880,30.010,30.780,31.290,43.000,31.290,11.710,3.000,0.030,0.000,35.130,0.000,0.000,30.000,30.000,1.000,4.000,1.000
30.020,30.170,30.950,31.480,43.000,31.480,11.520,3.000,0.030,0.000,34.550,0.000,0.000,30.000,30.000,1.000,4.000,1.000
30.180,30.350,31.140,31.710,43.000,31.710,11.290,3.000,0.030,0.000,33.880,0.000,0.000,30.000,30.000,1.000,4.000,1.000
30.360,30.560,31.370,31.960,43.000,31.960,11.040,3.000,0.030,0.000,33.110,0.000,0.000,30.000,30.000,1.000,4.000,1.000
30.610,30.800,31.620,32.240,43.000,32.240,10.760,3.000,0.030,0.000,32.270,0.000,0.000,30.000,30.000,1.000,4.000,1.000
30.890,31.060,31.890,32.550,43.000,32.550,10.450,3.000,0.030,0.000,31.360,0.000,0.000,30.000,30.000,1.000,4.000,1.000
31.220,31.330,32.180,32.870,43.000,32.870,10.130,3.000,0.030,0.000,30.390,0.000,0.000,30.000,30.000,1.000,4.000,1.000
31.560,31.640,32.480,33.210,43.000,33.210,9.790,3.000,0.030,0.000,29.380,0.240,0.000,29.620,30.000,1.000,4.000,1.000
31.910,31.970,32.790,33.560,43.000,33.560,9.440,3.000,0.030,0.000,28.330,0.480,0.000,28.810,30.000,1.000,4.000,1.000
32.290,32.310,33.120,33.920,43.000,33.920,9.080,3.000,0.030,0.000,27.240,0.710,0.000,27.950,30.000,1.000,4.000,1.000
32.690,32.670,33.450,34.290,43.000,34.290,8.710,3.000,0.030,0.000,26.140,0.930,0.000,27.060,30.000,1.000,4.000,1.000
33.080,33.040,33.790,34.660,43.000,34.660,8.340,3.000,0.030,0.000,25.020,1.130,0.000,26.150,30.000,1.000,4.000,1.000
33.440,33.410,34.130,35.040,43.000,35.040,7.960,3.000,0.030,0.000,23.890,1.330,0.000,25.220,30.000,1.000,4.000,1.000
33.790,33.790,34.470,35.410,43.000,35.410,7.590,3.000,0.030,0.000,22.760,1.520,0.000,24.290,30.000,1.000,4.000,1.000
34.160,34.170,34.810,35.780,43.000,35.780,7.220,3.000,0.030,0.000,21.650,1.700,0.000,23.350,30.000,1.000,4.000,1.000
34.550,34.550,35.150,36.150,43.000,36.150,6.850,3.000,0.030,0.000,20.540,1.870,0.000,22.420,30.000,1.000,4.000,1.000
34.930,34.950,35.470,36.520,43.000,36.520,6.480,3.000,0.030,0.000,19.450,2.040,0.000,21.490,30.000,1.000,4.000,1.000
35.320,35.380,35.800,36.870,43.000,36.870,6.130,3.000,0.030,0.000,18.400,2.190,0.000,20.590,30.000,1.000,4.000,1.000
35.700,35.800,36.110,37.210,43.000,37.210,5.790,3.000,0.030,0.000,17.380,2.330,0.000,19.710,30.000,1.000,4.000,1.000
36.110,36.210,36.420,37.540,43.000,37.540,5.460,3.000,0.030,0.000,16.380,2.470,0.000,18.850,30.000,1.000,4.000,1.000
36.450,36.620,36.720,37.860,43.000,37.860,5.140,3.000,0.030,0.000,15.410,2.600,0.000,18.010,30.000,1.000,4.000,1.000
36.820,37.020,37.020,38.180,43.000,38.180,4.820,3.000,0.030,0.000,14.470,2.720,0.000,17.190,30.000,1.000,4.000,1.000
37.160,37.370,37.290,38.480,43.000,38.480,4.520,3.000,0.030,0.000,13.560,2.830,0.000,16.390,30.000,1.000,4.000,1.000
37.490,37.710,37.570,38.770,43.000,38.770,4.230,3.000,0.030,0.000,12.690,2.940,0.000,15.630,30.000,1.000,4.000,1.000
37.790,38.050,37.830,39.050,43.000,39.050,3.950,3.000,0.030,0.000,11.840,3.040,0.000,14.880,30.000,1.000,4.000,1.000
38.020,38.380,38.090,39.330,43.000,39.330,3.670,3.000,0.030,0.000,11.020,3.130,0.000,14.150,30.000,1.000,4.000,1.000
38.220,38.690,38.330,39.580,43.000,39.580,3.420,3.000,0.030,0.000,10.250,3.210,0.000,13.460,30.000,1.000,4.000,1.000
38.510,38.980,38.570,39.840,43.000,39.840,3.160,3.000,0.030,0.000,9.480,3.290,0.000,12.780,30.000,1.000,4.000,1.000
38.720,39.260,38.800,40.080,43.000,40.080,2.920,3.000,0.030,0.000,8.760,3.370,0.000,12.130,30.000,1.000,4.000,1.000
38.940,39.520,39.010,40.310,43.000,40.310,2.690,3.000,0.030,0.000,8.080,3.430,0.000,11.520,30.000,1.000,4.000,1.000
39.200,39.770,39.220,40.520,43.000,40.520,2.480,3.000,0.030,0.000,7.430,3.500,0.000,10.930,30.000,1.000,4.000,1.000
39.430,40.030,39.400,40.730,43.000,40.730,2.270,3.000,0.030,0.000,6.820,3.550,0.000,10.380,30.000,1.000,4.000,1.000
